Country,Region,University_Name,Degree_Level,Field_of_Study,Graduation_Year,Employment_Rate_6_Months (%),Employment_Rate_12_Months (%),Average_Starting_Salary_USD,Top_Industry,Job_Role,Skill_1,Skill_2,Skill_3,Skill_Demand_Score (1–100),Remote_Work_Availability (%),Employer_Reputation_Score (1–100),Year
Canada,North America,UBC,PhD,Healthcare & Medicine,2020,96.2,99.8,99500,Healthcare,Medical Doctor,Diagnostics,Clinical Research,Patient Care,49,29.0,76,2020
Brazil,Latin America,University of São Paulo,Master,Healthcare & Medicine,2016,82.8,88.8,29900,Healthcare,Pharmacist,Clinical Research,Diagnostics,Medical Coding,37,10.7,73,2016
Argentina,Latin America,University of Buenos Aires,Bachelor,Healthcare & Medicine,2022,98.9,100.0,25600,Healthcare,Pharmacist,Clinical Research,Patient Care,Medical Coding,63,57.2,76,2022
Switzerland,Europe,EPFL,Bachelor,Computer Science,2025,88.2,92.4,107500,Technology,Cloud Architect,Java,Cybersecurity,Python,78,90.0,76,2025
Brazil,Latin America,University of São Paulo,Master,Data Science & AI,2024,89.7,93.4,45400,Technology/Consulting,AI Consultant,Data Visualization,Big Data,Machine Learning,77,83.6,54,2024
UAE,Middle East & Africa,Khalifa University,Bachelor,Business & Finance,2019,73.5,79.0,69800,Finance/Consulting,Management Consultant,Strategic Planning,Financial Modeling,Market Research,73,13.0,72,2019
Brazil,Latin America,University of São Paulo,Bachelor,Engineering,2022,73.1,79.6,21200,Manufacturing/Construction,Robotics Engineer,SolidWorks,Project Management,AutoCAD,79,55.6,52,2022
Netherlands,Europe,TU Delft,Master,Engineering,2018,76.3,81.1,53800,Manufacturing/Construction,Robotics Engineer,MATLAB,SolidWorks,AutoCAD,71,13.4,74,2018
USA,North America,Stanford,Bachelor,Engineering,2024,77.1,84.9,76900,Manufacturing/Construction,Robotics Engineer,Lean Six Sigma,AutoCAD,Project Management,70,59.0,59,2024
Singapore,Asia-Pacific,NTU,Bachelor,Social Sciences,2023,77.3,83.4,52000,Government/NGO,Human Resources Specialist,Communication,Data Analysis,Public Policy,64,69.2,89,2023
Brazil,Latin America,University of São Paulo,Master,Healthcare & Medicine,2021,99.0,100.0,32400,Healthcare,Public Health Specialist,Clinical Research,Diagnostics,Medical Coding,62,47.2,71,2021
South Korea,Asia-Pacific,KAIST,PhD,Engineering,2017,85.2,88.7,69000,Manufacturing/Construction,Mechanical Engineer,AutoCAD,Lean Six Sigma,SolidWorks,42,22.5,62,2017
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Social Sciences,2023,73.2,77.7,59000,Government/NGO,Human Resources Specialist,Communication,Data Analysis,Qualitative Research,64,74.7,40,2023
USA,North America,Georgia Tech,Master,Computer Science,2023,85.5,91.1,105300,Technology,Data Scientist,Python,Java,React,75,61.4,65,2023
India,Asia-Pacific,IISc Bangalore,PhD,Business & Finance,2015,80.6,83.2,25100,Finance/Consulting,Investment Banker,Excel,Financial Modeling,Market Research,31,15.1,50,2015
Canada,North America,UBC,PhD,Computer Science,2019,96.8,100.0,100100,Technology,Data Scientist,SQL,Java,Cloud Computing,69,11.1,86,2019
Brazil,Latin America,University of São Paulo,PhD,Business & Finance,2022,82.2,83.8,37700,Finance/Consulting,Financial Analyst,Data Analysis,Strategic Planning,Financial Modeling,60,60.3,57,2022
Argentina,Latin America,University of Buenos Aires,Bachelor,Social Sciences,2017,73.0,78.1,10100,Government/NGO,Policy Analyst,Qualitative Research,Public Policy,Data Analysis,64,5.0,60,2017
Saudi Arabia,Middle East & Africa,King Abdulaziz University,PhD,Natural Sciences,2021,89.1,91.1,77400,Research/Academia,Environmental Scientist,Scientific Writing,Laboratory Skills,Statistical Analysis,60,52.8,68,2021
Canada,North America,University of Toronto,Master,Natural Sciences,2021,83.8,91.8,53900,Research/Academia,Environmental Scientist,Laboratory Skills,Experimental Design,Statistical Analysis,63,39.7,62,2021
Argentina,Latin America,University of Buenos Aires,PhD,Engineering,2022,87.5,93.8,38600,Manufacturing/Construction,Civil Engineer,Lean Six Sigma,SolidWorks,MATLAB,67,53.4,66,2022
Switzerland,Europe,EPFL,Master,Natural Sciences,2016,84.0,92.0,80300,Research/Academia,Environmental Scientist,Experimental Design,Scientific Writing,Laboratory Skills,63,5.0,73,2016
USA,North America,Stanford,PhD,Computer Science,2020,96.1,99.8,126100,Technology,Cybersecurity Analyst,Cloud Computing,DevOps,SQL,100,27.2,53,2020
Japan,Asia-Pacific,Kyoto University,Master,Natural Sciences,2022,91.8,95.2,57400,Research/Academia,Environmental Scientist,Experimental Design,Statistical Analysis,Laboratory Skills,61,70.8,69,2022
China,Asia-Pacific,Fudan University,Master,Data Science & AI,2023,94.1,99.6,54900,Technology/Consulting,AI Consultant,Big Data,NLP,Machine Learning,96,82.9,74,2023
Japan,Asia-Pacific,Kyoto University,PhD,Healthcare & Medicine,2018,94.1,100.0,85600,Healthcare,Biomedical Researcher,Medical Coding,Patient Care,Clinical Research,56,10.0,87,2018
Japan,Asia-Pacific,University of Tokyo,Master,Healthcare & Medicine,2025,83.7,88.7,88400,Healthcare,Pharmacist,Diagnostics,Patient Care,Medical Coding,63,86.9,76,2025
Switzerland,Europe,ETH Zurich,PhD,Data Science & AI,2018,92.4,93.6,153400,Technology/Consulting,Data Analyst,NLP,R,Big Data,66,14.5,40,2018
Argentina,Latin America,University of Buenos Aires,Bachelor,Social Sciences,2019,82.6,90.2,19100,Government/NGO,Economist,Qualitative Research,Public Policy,Data Analysis,56,5.0,76,2019
Mexico,Latin America,UNAM,Master,Business & Finance,2019,85.9,89.5,33100,Finance/Consulting,Management Consultant,Market Research,Data Analysis,Excel,58,7.3,57,2019
France,Europe,PSL University,Master,Computer Science,2021,85.3,88.5,78700,Technology,Software Engineer,SQL,Cybersecurity,DevOps,70,35.1,72,2021
USA,North America,Harvard,Master,Business & Finance,2023,80.3,82.3,106000,Finance/Consulting,Marketing Manager,Market Research,Excel,Data Analysis,74,86.9,60,2023
France,Europe,PSL University,Master,Social Sciences,2022,83.8,92.1,51500,Government/NGO,Human Resources Specialist,Public Policy,Qualitative Research,Communication,58,46.7,79,2022
China,Asia-Pacific,Tsinghua University,Bachelor,Computer Science,2020,90.0,93.9,42300,Technology,Software Engineer,SQL,Python,React,89,45.3,58,2020
China,Asia-Pacific,Fudan University,PhD,Data Science & AI,2017,86.2,92.6,60900,Technology/Consulting,Machine Learning Engineer,Machine Learning,Data Visualization,Deep Learning,71,7.8,69,2017
UAE,Middle East & Africa,Khalifa University,Bachelor,Data Science & AI,2024,94.5,100.0,79500,Technology/Consulting,NLP Specialist,NLP,R,Big Data,86,87.6,76,2024
Germany,Europe,TU Munich,PhD,Healthcare & Medicine,2024,92.4,97.1,119900,Healthcare,Biomedical Researcher,Medical Coding,Diagnostics,Patient Care,73,76.3,64,2024
UK,Europe,Imperial College London,Bachelor,Engineering,2021,84.7,88.2,67600,Manufacturing/Construction,Mechanical Engineer,Project Management,AutoCAD,SolidWorks,67,51.2,75,2021
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Computer Science,2018,95.9,100.0,29500,Technology,Data Scientist,SQL,DevOps,Java,75,15.2,73,2018
Argentina,Latin America,University of Buenos Aires,Bachelor,Engineering,2019,81.6,86.4,17600,Manufacturing/Construction,Electrical Engineer,AutoCAD,Lean Six Sigma,SolidWorks,58,7.1,58,2019
Argentina,Latin America,University of Buenos Aires,Master,Engineering,2018,74.3,77.5,15700,Manufacturing/Construction,Robotics Engineer,AutoCAD,Lean Six Sigma,Project Management,54,10.5,65,2018
Brazil,Latin America,University of São Paulo,PhD,Natural Sciences,2021,90.9,98.0,23200,Research/Academia,Chemist,Laboratory Skills,Scientific Writing,Statistical Analysis,66,69.1,55,2021
Mexico,Latin America,UNAM,Master,Computer Science,2022,86.4,91.9,39900,Technology,Cybersecurity Analyst,Cybersecurity,SQL,DevOps,71,60.1,75,2022
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Bachelor,Social Sciences,2016,83.6,88.8,35300,Government/NGO,Economist,Data Analysis,Public Policy,Qualitative Research,46,7.2,82,2016
France,Europe,Ecole Polytechnique,Master,Data Science & AI,2018,95.8,100.0,70000,Technology/Consulting,NLP Specialist,NLP,R,Deep Learning,59,15.7,100,2018
Israel,Middle East & Africa,Technion,PhD,Healthcare & Medicine,2018,96.0,100.0,109400,Healthcare,Pharmacist,Clinical Research,Patient Care,Diagnostics,53,10.9,50,2018
South Africa,Middle East & Africa,University of Cape Town,Master,Computer Science,2022,93.7,99.8,41300,Technology,Cybersecurity Analyst,DevOps,React,SQL,94,52.3,62,2022
Canada,North America,McGill University,Master,Engineering,2019,80.5,85.9,81800,Manufacturing/Construction,Civil Engineer,MATLAB,Lean Six Sigma,Project Management,57,5.9,94,2019
Germany,Europe,Humboldt University,PhD,Healthcare & Medicine,2024,87.4,91.5,119400,Healthcare,Public Health Specialist,Patient Care,Clinical Research,Diagnostics,47,73.5,55,2024
USA,North America,MIT,PhD,Engineering,2016,79.6,86.4,102800,Manufacturing/Construction,Mechanical Engineer,Lean Six Sigma,AutoCAD,Project Management,65,13.9,66,2016
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Data Science & AI,2017,82.4,87.1,31000,Technology/Consulting,Data Analyst,Data Visualization,R,Deep Learning,65,13.5,100,2017
Mexico,Latin America,UNAM,PhD,Computer Science,2018,83.0,87.3,37100,Technology,Software Engineer,SQL,Python,Cybersecurity,77,10.4,59,2018
Saudi Arabia,Middle East & Africa,King Abdulaziz University,PhD,Business & Finance,2021,76.8,79.9,91900,Finance/Consulting,Financial Analyst,Strategic Planning,Market Research,Financial Modeling,68,39.8,78,2021
UAE,Middle East & Africa,Khalifa University,Bachelor,Data Science & AI,2017,98.8,100.0,57600,Technology/Consulting,AI Consultant,Big Data,Machine Learning,Data Visualization,71,11.7,61,2017
Germany,Europe,Humboldt University,Bachelor,Engineering,2015,82.9,89.8,52100,Manufacturing/Construction,Mechanical Engineer,MATLAB,Project Management,SolidWorks,57,9.1,67,2015
UAE,Middle East & Africa,Khalifa University,Bachelor,Engineering,2015,84.7,87.9,63200,Manufacturing/Construction,Civil Engineer,SolidWorks,Project Management,AutoCAD,50,8.3,67,2015
South Africa,Middle East & Africa,University of Cape Town,Master,Engineering,2022,79.2,87.8,31100,Manufacturing/Construction,Civil Engineer,Project Management,AutoCAD,MATLAB,69,35.1,88,2022
Sweden,Europe,KTH Royal Institute of Technology,Bachelor,Business & Finance,2017,78.2,84.6,59100,Finance/Consulting,Marketing Manager,Financial Modeling,Excel,Strategic Planning,45,7.6,92,2017
Argentina,Latin America,University of Buenos Aires,PhD,Business & Finance,2025,73.7,78.5,32600,Finance/Consulting,Marketing Manager,Market Research,Excel,Data Analysis,69,90.0,70,2025
Australia,Asia-Pacific,University of Sydney,Bachelor,Healthcare & Medicine,2022,95.2,100.0,74000,Healthcare,Medical Doctor,Patient Care,Clinical Research,Medical Coding,56,71.5,72,2022
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Healthcare & Medicine,2021,90.9,93.7,32900,Healthcare,Public Health Specialist,Diagnostics,Patient Care,Medical Coding,56,50.0,67,2021
Canada,North America,McGill University,Bachelor,Natural Sciences,2015,81.1,87.8,50800,Research/Academia,Environmental Scientist,Statistical Analysis,Experimental Design,Laboratory Skills,50,15.3,75,2015
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Engineering,2017,81.2,84.3,60200,Manufacturing/Construction,Electrical Engineer,AutoCAD,Project Management,SolidWorks,59,9.8,62,2017
Mexico,Latin America,UNAM,PhD,Business & Finance,2020,76.7,80.9,40700,Finance/Consulting,Marketing Manager,Strategic Planning,Data Analysis,Financial Modeling,70,43.2,69,2020
USA,North America,Stanford,PhD,Computer Science,2019,93.9,95.9,120100,Technology,Cybersecurity Analyst,Cloud Computing,Python,SQL,74,18.1,60,2019
Argentina,Latin America,University of Buenos Aires,Bachelor,Healthcare & Medicine,2019,87.3,92.1,17800,Healthcare,Medical Doctor,Medical Coding,Diagnostics,Patient Care,52,12.4,72,2019
Brazil,Latin America,University of São Paulo,Master,Engineering,2019,76.0,80.3,33700,Manufacturing/Construction,Mechanical Engineer,Lean Six Sigma,Project Management,AutoCAD,55,12.3,58,2019
Sweden,Europe,Karolinska Institute,Bachelor,Computer Science,2023,95.9,99.0,71500,Technology,AI Researcher,Java,React,Cybersecurity,81,64.7,100,2023
Canada,North America,McGill University,Master,Natural Sciences,2024,89.6,92.1,70300,Research/Academia,Biologist,Experimental Design,Statistical Analysis,Scientific Writing,58,73.1,57,2024
China,Asia-Pacific,Fudan University,PhD,Computer Science,2022,89.5,92.8,63600,Technology,Cloud Architect,SQL,DevOps,React,95,72.2,84,2022
USA,North America,Stanford,Master,Data Science & AI,2025,91.7,95.7,122700,Technology/Consulting,Data Analyst,NLP,Data Visualization,R,80,90.0,52,2025
Germany,Europe,TU Munich,PhD,Business & Finance,2019,88.8,97.6,91800,Finance/Consulting,Investment Banker,Data Analysis,Strategic Planning,Financial Modeling,61,15.5,66,2019
China,Asia-Pacific,Tsinghua University,Bachelor,Business & Finance,2024,83.1,89.2,34600,Finance/Consulting,Marketing Manager,Strategic Planning,Data Analysis,Financial Modeling,68,77.6,84,2024
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Computer Science,2017,86.1,89.1,23100,Technology,Cybersecurity Analyst,SQL,Python,Cloud Computing,74,5.0,59,2017
USA,North America,UC Berkeley,Bachelor,Social Sciences,2022,78.7,80.7,54000,Government/NGO,Sociologist,Public Policy,Data Analysis,Qualitative Research,64,72.5,72,2022
South Africa,Middle East & Africa,University of Cape Town,Master,Healthcare & Medicine,2023,97.9,100.0,51300,Healthcare,Biomedical Researcher,Medical Coding,Diagnostics,Patient Care,66,70.2,81,2023
South Africa,Middle East & Africa,University of Cape Town,Bachelor,Natural Sciences,2015,70.6,76.6,18900,Research/Academia,Biologist,Experimental Design,Statistical Analysis,Scientific Writing,38,5.2,70,2015
South Africa,Middle East & Africa,University of Cape Town,PhD,Business & Finance,2015,75.9,81.3,40000,Finance/Consulting,Investment Banker,Market Research,Excel,Strategic Planning,59,5.0,89,2015
Switzerland,Europe,ETH Zurich,Bachelor,Engineering,2022,90.6,94.8,81500,Manufacturing/Construction,Electrical Engineer,Project Management,AutoCAD,MATLAB,65,41.1,69,2022
Argentina,Latin America,University of Buenos Aires,Master,Healthcare & Medicine,2020,90.8,94.7,26000,Healthcare,Biomedical Researcher,Medical Coding,Clinical Research,Diagnostics,50,51.3,70,2020
Israel,Middle East & Africa,Technion,Master,Computer Science,2021,88.6,92.7,96400,Technology,Cybersecurity Analyst,DevOps,SQL,Java,90,33.8,51,2021
Brazil,Latin America,University of São Paulo,Master,Computer Science,2019,85.4,86.8,38000,Technology,Cybersecurity Analyst,Java,DevOps,React,96,5.0,72,2019
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Natural Sciences,2018,67.2,71.7,53900,Research/Academia,Biologist,Scientific Writing,Laboratory Skills,Experimental Design,60,11.8,83,2018
Switzerland,Europe,EPFL,PhD,Business & Finance,2016,86.6,90.2,123100,Finance/Consulting,Investment Banker,Financial Modeling,Market Research,Data Analysis,37,5.0,48,2016
Switzerland,Europe,EPFL,Master,Computer Science,2025,83.7,89.2,138100,Technology,Cybersecurity Analyst,Java,Python,React,87,89.0,90,2025
UK,Europe,Cambridge,Master,Natural Sciences,2020,84.3,89.4,58400,Research/Academia,Physicist,Scientific Writing,Experimental Design,Laboratory Skills,58,63.0,48,2020
France,Europe,Ecole Polytechnique,Bachelor,Computer Science,2024,93.3,97.3,71000,Technology,Software Engineer,Python,SQL,Cybersecurity,100,61.5,62,2024
Germany,Europe,Heidelberg University,Master,Computer Science,2019,93.3,96.1,72900,Technology,Cloud Architect,Cybersecurity,Cloud Computing,SQL,82,9.1,62,2019
Canada,North America,University of Toronto,Bachelor,Business & Finance,2024,78.7,81.5,72100,Finance/Consulting,Investment Banker,Excel,Strategic Planning,Market Research,96,75.1,40,2024
Argentina,Latin America,University of Buenos Aires,PhD,Data Science & AI,2015,86.7,93.3,24400,Technology/Consulting,NLP Specialist,Data Visualization,R,Deep Learning,73,12.0,64,2015
Mexico,Latin America,UNAM,Master,Social Sciences,2021,79.4,84.2,19500,Government/NGO,Sociologist,Data Analysis,Public Policy,Qualitative Research,70,53.4,77,2021
Germany,Europe,Heidelberg University,Bachelor,Social Sciences,2017,84.4,90.0,44700,Government/NGO,Policy Analyst,Public Policy,Data Analysis,Communication,57,15.9,60,2017
UK,Europe,LSE,Bachelor,Engineering,2016,74.1,79.4,45600,Manufacturing/Construction,Electrical Engineer,MATLAB,Lean Six Sigma,SolidWorks,33,12.3,68,2016
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Business & Finance,2016,77.9,82.5,66700,Finance/Consulting,Financial Analyst,Market Research,Excel,Data Analysis,63,16.9,59,2016
Argentina,Latin America,University of Buenos Aires,Master,Engineering,2021,82.7,88.5,23500,Manufacturing/Construction,Mechanical Engineer,Project Management,MATLAB,AutoCAD,59,62.8,41,2021
Canada,North America,McGill University,Bachelor,Natural Sciences,2022,82.2,88.2,52500,Research/Academia,Biologist,Experimental Design,Scientific Writing,Statistical Analysis,77,72.0,65,2022
Brazil,Latin America,University of São Paulo,PhD,Social Sciences,2021,79.4,86.3,37800,Government/NGO,Policy Analyst,Communication,Data Analysis,Public Policy,80,62.1,71,2021
France,Europe,Ecole Polytechnique,Bachelor,Business & Finance,2020,72.4,78.0,53300,Finance/Consulting,Financial Analyst,Strategic Planning,Financial Modeling,Data Analysis,48,32.1,52,2020
Israel,Middle East & Africa,Hebrew University of Jerusalem,Bachelor,Social Sciences,2017,79.9,85.4,42300,Government/NGO,Sociologist,Data Analysis,Public Policy,Communication,47,15.3,66,2017
Australia,Asia-Pacific,University of Sydney,Master,Computer Science,2016,92.4,100.0,72500,Technology,Data Scientist,DevOps,Cybersecurity,Java,75,8.2,47,2016
France,Europe,Ecole Polytechnique,PhD,Business & Finance,2023,84.2,88.4,95100,Finance/Consulting,Investment Banker,Market Research,Strategic Planning,Data Analysis,49,61.5,91,2023
Argentina,Latin America,University of Buenos Aires,PhD,Natural Sciences,2022,78.6,84.9,32900,Research/Academia,Physicist,Laboratory Skills,Statistical Analysis,Scientific Writing,52,74.0,73,2022
Argentina,Latin America,University of Buenos Aires,Master,Natural Sciences,2021,72.7,79.0,24200,Research/Academia,Biologist,Experimental Design,Scientific Writing,Laboratory Skills,61,58.5,83,2021
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Data Science & AI,2025,88.2,94.8,90400,Technology/Consulting,NLP Specialist,Machine Learning,Deep Learning,R,89,81.3,56,2025
China,Asia-Pacific,Fudan University,Bachelor,Computer Science,2018,87.4,94.7,28700,Technology,Cybersecurity Analyst,SQL,DevOps,Java,77,7.4,82,2018
Canada,North America,University of Toronto,Bachelor,Natural Sciences,2019,80.5,85.1,45800,Research/Academia,Physicist,Experimental Design,Laboratory Skills,Statistical Analysis,65,5.0,57,2019
Argentina,Latin America,University of Buenos Aires,PhD,Social Sciences,2023,81.7,89.1,15500,Government/NGO,Human Resources Specialist,Communication,Public Policy,Data Analysis,60,64.9,83,2023
South Africa,Middle East & Africa,University of Cape Town,PhD,Social Sciences,2018,82.6,88.9,38000,Government/NGO,Policy Analyst,Public Policy,Communication,Qualitative Research,45,16.9,100,2018
Singapore,Asia-Pacific,NUS,Master,Computer Science,2016,80.8,84.7,83300,Technology,Data Scientist,Java,React,Cloud Computing,78,7.9,89,2016
Singapore,Asia-Pacific,NTU,Master,Engineering,2021,77.7,82.8,88700,Manufacturing/Construction,Mechanical Engineer,Project Management,Lean Six Sigma,SolidWorks,53,48.2,61,2021
Japan,Asia-Pacific,University of Tokyo,Bachelor,Engineering,2016,90.6,92.7,49500,Manufacturing/Construction,Electrical Engineer,AutoCAD,Project Management,Lean Six Sigma,32,8.8,47,2016
UK,Europe,LSE,Master,Computer Science,2023,95.0,100.0,83800,Technology,Cloud Architect,SQL,Cybersecurity,DevOps,88,68.1,40,2023
Canada,North America,UBC,PhD,Data Science & AI,2016,93.4,99.6,100300,Technology/Consulting,Data Analyst,R,Machine Learning,NLP,64,7.8,47,2016
Brazil,Latin America,University of São Paulo,PhD,Computer Science,2024,87.5,89.3,36800,Technology,Data Scientist,SQL,Python,React,91,74.8,61,2024
France,Europe,PSL University,PhD,Natural Sciences,2023,66.8,74.9,74500,Research/Academia,Physicist,Statistical Analysis,Experimental Design,Scientific Writing,55,65.9,48,2023
South Korea,Asia-Pacific,KAIST,Bachelor,Natural Sciences,2023,80.7,84.1,47900,Research/Academia,Chemist,Experimental Design,Laboratory Skills,Scientific Writing,62,86.8,68,2023
Israel,Middle East & Africa,Technion,PhD,Engineering,2025,78.3,79.5,116200,Manufacturing/Construction,Electrical Engineer,SolidWorks,Lean Six Sigma,Project Management,68,90.0,86,2025
India,Asia-Pacific,IIT Bombay,Bachelor,Business & Finance,2018,74.4,78.2,9500,Finance/Consulting,Management Consultant,Financial Modeling,Excel,Market Research,55,9.3,68,2018
South Korea,Asia-Pacific,Seoul National University,Master,Natural Sciences,2022,76.7,83.6,54300,Research/Academia,Physicist,Laboratory Skills,Experimental Design,Scientific Writing,68,56.8,94,2022
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Healthcare & Medicine,2023,95.9,95.9,89400,Healthcare,Public Health Specialist,Medical Coding,Clinical Research,Diagnostics,81,77.9,100,2023
France,Europe,Ecole Polytechnique,Master,Computer Science,2016,99.0,100.0,69900,Technology,AI Researcher,Python,Cloud Computing,Java,85,20.0,73,2016
Brazil,Latin America,University of São Paulo,Master,Natural Sciences,2021,79.7,85.5,19400,Research/Academia,Physicist,Laboratory Skills,Scientific Writing,Statistical Analysis,62,37.5,45,2021
Mexico,Latin America,UNAM,Master,Computer Science,2015,95.3,100.0,21000,Technology,Software Engineer,Cloud Computing,SQL,Java,79,15.3,68,2015
Switzerland,Europe,ETH Zurich,Master,Computer Science,2016,89.0,93.5,93300,Technology,Software Engineer,Cloud Computing,SQL,React,67,10.3,76,2016
Switzerland,Europe,ETH Zurich,PhD,Natural Sciences,2016,81.6,82.8,107600,Research/Academia,Biologist,Statistical Analysis,Laboratory Skills,Experimental Design,47,10.2,88,2016
UAE,Middle East & Africa,Khalifa University,PhD,Social Sciences,2019,85.6,91.1,68700,Government/NGO,Sociologist,Public Policy,Qualitative Research,Data Analysis,58,14.7,60,2019
Brazil,Latin America,University of São Paulo,Master,Social Sciences,2015,81.2,84.9,17600,Government/NGO,Policy Analyst,Qualitative Research,Public Policy,Communication,55,6.4,73,2015
Canada,North America,University of Toronto,Master,Natural Sciences,2020,82.3,86.4,63900,Research/Academia,Biologist,Experimental Design,Scientific Writing,Laboratory Skills,56,41.0,73,2020
Switzerland,Europe,ETH Zurich,Bachelor,Data Science & AI,2017,98.5,100.0,91000,Technology/Consulting,Machine Learning Engineer,Deep Learning,Big Data,Machine Learning,73,5.0,75,2017
Brazil,Latin America,University of São Paulo,Bachelor,Social Sciences,2025,78.6,82.9,16400,Government/NGO,Sociologist,Qualitative Research,Data Analysis,Public Policy,72,84.5,61,2025
Saudi Arabia,Middle East & Africa,King Abdulaziz University,PhD,Engineering,2015,84.4,88.3,79800,Manufacturing/Construction,Robotics Engineer,SolidWorks,Project Management,MATLAB,47,18.2,66,2015
Switzerland,Europe,EPFL,Master,Engineering,2021,77.8,81.7,104900,Manufacturing/Construction,Electrical Engineer,Lean Six Sigma,SolidWorks,MATLAB,56,37.2,53,2021
India,Asia-Pacific,IISc Bangalore,Bachelor,Social Sciences,2021,83.0,87.2,12600,Government/NGO,Policy Analyst,Communication,Data Analysis,Qualitative Research,59,62.7,89,2021
Canada,North America,UBC,Bachelor,Social Sciences,2019,76.8,80.1,43300,Government/NGO,Policy Analyst,Qualitative Research,Communication,Public Policy,64,9.0,64,2019
Germany,Europe,Humboldt University,Bachelor,Engineering,2018,76.2,81.8,52100,Manufacturing/Construction,Robotics Engineer,AutoCAD,Lean Six Sigma,MATLAB,42,15.0,61,2018
Germany,Europe,Heidelberg University,Bachelor,Healthcare & Medicine,2015,83.3,88.3,57700,Healthcare,Medical Doctor,Patient Care,Medical Coding,Clinical Research,46,9.7,92,2015
Brazil,Latin America,University of São Paulo,Bachelor,Business & Finance,2017,76.0,79.6,24400,Finance/Consulting,Management Consultant,Strategic Planning,Financial Modeling,Market Research,59,16.5,74,2017
Mexico,Latin America,UNAM,Master,Social Sciences,2018,84.3,92.1,22600,Government/NGO,Sociologist,Qualitative Research,Public Policy,Data Analysis,36,13.3,84,2018
Sweden,Europe,KTH Royal Institute of Technology,Master,Business & Finance,2019,76.8,80.1,64500,Finance/Consulting,Investment Banker,Data Analysis,Financial Modeling,Strategic Planning,50,7.6,73,2019
Mexico,Latin America,UNAM,Bachelor,Natural Sciences,2015,85.4,88.7,20000,Research/Academia,Chemist,Experimental Design,Scientific Writing,Statistical Analysis,41,16.6,79,2015
Brazil,Latin America,University of São Paulo,Bachelor,Data Science & AI,2019,92.4,97.3,28600,Technology/Consulting,NLP Specialist,Deep Learning,Data Visualization,Machine Learning,83,8.3,74,2019
UAE,Middle East & Africa,Khalifa University,Master,Data Science & AI,2025,87.8,91.5,94500,Technology/Consulting,AI Consultant,Deep Learning,Data Visualization,NLP,86,80.7,61,2025
Mexico,Latin America,UNAM,Bachelor,Business & Finance,2018,82.7,87.6,13200,Finance/Consulting,Financial Analyst,Data Analysis,Strategic Planning,Financial Modeling,38,5.8,75,2018
Mexico,Latin America,UNAM,PhD,Healthcare & Medicine,2025,89.5,94.4,41600,Healthcare,Public Health Specialist,Patient Care,Clinical Research,Diagnostics,73,75.6,78,2025
South Africa,Middle East & Africa,University of Cape Town,Master,Natural Sciences,2025,81.2,86.1,31100,Research/Academia,Physicist,Scientific Writing,Experimental Design,Statistical Analysis,64,79.8,65,2025
USA,North America,Stanford,Master,Data Science & AI,2018,84.4,92.8,105800,Technology/Consulting,NLP Specialist,NLP,Big Data,Deep Learning,73,10.2,53,2018
UAE,Middle East & Africa,Khalifa University,Bachelor,Data Science & AI,2023,87.5,90.4,73100,Technology/Consulting,Machine Learning Engineer,Data Visualization,Big Data,R,83,65.9,97,2023
Brazil,Latin America,University of São Paulo,Bachelor,Social Sciences,2019,80.5,86.0,12600,Government/NGO,Economist,Data Analysis,Qualitative Research,Communication,47,13.4,64,2019
Argentina,Latin America,University of Buenos Aires,Bachelor,Business & Finance,2022,83.3,86.1,7000,Finance/Consulting,Management Consultant,Market Research,Strategic Planning,Financial Modeling,53,66.9,64,2022
Canada,North America,McGill University,Master,Natural Sciences,2018,87.3,91.0,65300,Research/Academia,Environmental Scientist,Scientific Writing,Statistical Analysis,Laboratory Skills,63,6.2,100,2018
UAE,Middle East & Africa,Khalifa University,Bachelor,Healthcare & Medicine,2017,95.1,100.0,58500,Healthcare,Biomedical Researcher,Patient Care,Diagnostics,Clinical Research,57,6.6,67,2017
Mexico,Latin America,UNAM,Bachelor,Social Sciences,2023,81.1,86.8,7000,Government/NGO,Economist,Data Analysis,Communication,Public Policy,67,40.3,51,2023
Germany,Europe,Heidelberg University,Bachelor,Computer Science,2019,91.5,97.0,59400,Technology,Software Engineer,Python,Cybersecurity,DevOps,76,13.2,54,2019
Singapore,Asia-Pacific,NTU,Bachelor,Computer Science,2020,92.4,98.1,75700,Technology,Software Engineer,Java,Cybersecurity,Python,78,58.3,77,2020
Australia,Asia-Pacific,ANU,PhD,Social Sciences,2018,84.2,90.7,68700,Government/NGO,Economist,Public Policy,Qualitative Research,Communication,50,15.4,75,2018
Canada,North America,University of Toronto,Master,Data Science & AI,2016,92.7,96.9,66500,Technology/Consulting,AI Consultant,Machine Learning,Big Data,Deep Learning,77,14.7,72,2016
